font,filename,relative_path,white_ratio,dark_ratio,border_mean,border_dark_ratio,reason
SushiBF,途.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/途.png,0.255077,0.634372,140.408478,0.450893,low_white_high_dark;dark_border_low_white
SushiBF,過.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/過.png,0.208431,0.669787,145.878342,0.428571,low_white_high_dark;dark_border_low_white
SushiBF,闇.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/闇.png,0.177565,0.666509,127.580360,0.495536,low_white_high_dark;dark_border_low_white
SushiBF,雨.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/雨.png,0.284523,0.636076,162.699219,0.363839,low_white_high_dark;dark_border_low_white
SushiBF,雨1.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/雨1.png,0.320871,0.573865,152.378342,0.402902,low_white_high_dark;dark_border_low_white
SushiBF,雪.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/雪.png,0.299531,0.590596,146.747772,0.426339,low_white_high_dark;dark_border_low_white
SushiBF,食.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/食.png,0.164750,0.712776,137.655685,0.460938,low_white_high_dark;dark_border_low_white
SushiBF,食1.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/食1.png,0.339500,0.574881,158.215408,0.380580,low_white_high_dark;dark_border_low_white
SushiBF,首.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/首.png,0.174526,0.706458,141.024551,0.447545,low_white_high_dark;dark_border_low_white
SushiBF,黄.png,fontdata_example/font/train/new/SushiBF/images_white_bg_mask_denoised/黄.png,0.191820,0.705726,140.785721,0.448661,low_white_high_dark;dark_border_low_white
SushiJT,今.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/今.png,0.422852,0.501769,173.950897,0.319196,low_white_high_dark;dark_border_low_white
SushiJT,何.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/何.png,0.093257,0.801175,137.752228,0.466518,low_white_high_dark;dark_border_low_white
SushiJT,偷.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/偷.png,0.372803,0.520089,167.564728,0.343750,low_white_high_dark;dark_border_low_white
SushiJT,势.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/势.png,0.163774,0.700405,131.036835,0.486607,low_white_high_dark;dark_border_low_white
SushiJT,吹.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/吹.png,0.238281,0.662403,152.064728,0.404018,low_white_high_dark;dark_border_low_white
SushiJT,哭.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/哭.png,0.234858,0.642449,134.402908,0.473214,low_white_high_dark;dark_border_low_white
SushiJT,容.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/容.png,0.231889,0.653659,141.691971,0.445312,low_white_high_dark;dark_border_low_white
SushiJT,寒.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/寒.png,0.160226,0.712118,135.083145,0.470982,low_white_high_dark;dark_border_low_white
SushiJT,州.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/州.png,0.224290,0.667914,151.381699,0.406250,low_white_high_dark;dark_border_low_white
SushiJT,庖.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/庖.png,0.192821,0.678497,140.142853,0.450893,low_white_high_dark;dark_border_low_white
SushiJT,惜.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/惜.png,0.120979,0.750927,132.989960,0.479911,low_white_high_dark;dark_border_low_white
SushiJT,春.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/春.png,0.101572,0.792311,128.516739,0.496652,low_white_high_dark;dark_border_low_white
SushiJT,是.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/是.png,0.183639,0.700006,127.584824,0.495536,low_white_high_dark;dark_border_low_white
SushiJT,棠.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/棠.png,0.117247,0.745780,130.926346,0.486607,low_white_high_dark;dark_border_low_white
SushiJT,欲.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/欲.png,0.321957,0.566855,158.970978,0.377232,low_white_high_dark;dark_border_low_white
SushiJT,死.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/死.png,0.376475,0.548743,159.477676,0.375000,low_white_high_dark;dark_border_low_white
SushiJT,殊.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/殊.png,0.246173,0.621134,150.642303,0.410714,low_white_high_dark;dark_border_low_white
SushiJT,江.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/江.png,0.330382,0.602325,156.613846,0.386161,low_white_high_dark;dark_border_low_white
SushiJT,污.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/污.png,0.190714,0.731485,138.920761,0.456473,low_white_high_dark;dark_border_low_white
SushiJT,渔.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/渔.png,0.213210,0.657062,137.011154,0.464286,low_white_high_dark;dark_border_low_white
SushiJT,濛.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/濛.png,0.192761,0.644412,138.527908,0.457589,low_white_high_dark;dark_border_low_white
SushiJT,灰.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/灰.png,0.181830,0.692637,143.207596,0.439732,low_white_high_dark;dark_border_low_white
SushiJT,燕.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/燕.png,0.313183,0.581917,145.388397,0.430804,low_white_high_dark;dark_border_low_white
